Sample in Buffer,Sample in Window,TRIGGER,i_core_v_mcu/i_soc_domain/fc_subsystem_i/lFC_CORE/instr_rdata_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
20894,20894,0,02f51963
20895,20895,0,00f14703
20896,20896,0,05300793
20897,20897,0,50b2f6e7
20898,20898,0,54925422
20899,20899,0,49f25902
20900,20900,0,80826145
20901,20901,0,00000000
20902,20902,0,49f000ef
20903,20903,0,00000000
20904,20904,0,16e34785
20905,20905,0,4783e46f
20906,20906,0,e399f689
20907,20907,0,d24ff0ef
20908,20908,0,078547b2
20909,20909,0,00000000
20910,20910,0,00000000
20911,20911,0,c6061141
20912,20912,0,c226c422
20913,20913,0,00efc04a
20914,20914,0,00000000
20915,20915,0,c55177a0
20916,20916,0,00000000
20917,20917,0,e7b74405
20918,20918,0,1a1077b7
20919,20919,0,751343e8
20920,20920,0,80820ff5
20921,20921,0,1a1077b7
20922,20922,0,8082c7a8
20923,20923,0,00000000
20924,20924,0,00000000
20925,20925,0,00000000
20926,20926,0,00000000
20927,20927,0,c55177a0
20928,20928,0,e7b74405
20929,20929,0,80a31c07
20930,20930,0,40b2b581
20931,20931,0,44924422
20932,20932,0,01414902
20933,20933,0,11018082
20934,20934,0,00000000
20935,20935,0,ce06ca26
20936,20936,0,00000000
20937,20937,0,078547b2
20938,20938,0,47b2c63e
20939,20939,0,fcf478e3
20940,20940,0,00000000
20941,20941,0,00000000
20942,20942,0,f819c783
20943,20943,0,00000000
20944,20944,0,0828e789
20945,20945,0,00000000
20946,20946,0,074a2783
20947,20947,0,01578863
20948,20948,0,1c0087b7
20949,20949,0,08078793
20950,20950,0,00000000
20951,20951,0,00000000
20952,20952,0,00000000
20953,20953,0,00000000
20954,20954,0,00000000
20955,20955,0,f6a4c783
20956,20956,0,f0efe399
20957,20957,0,4783e46f
20958,20958,0,e399f689
20959,20959,0,00000000
20960,20960,0,d4227179
20961,20961,0,1c07e437
20962,20962,0,f8044783
20963,20963,0,00000000
20964,20964,0,d226d606
20965,20965,0,ce4ed04a
20966,20966,0,000107a3
20967,20967,0,00000000
20968,20968,0,6c634719
20969,20969,0,00000000
20970,20970,0,173704f7
20971,20971,0,078a1a00
20972,20972,0,09470713
20973,20973,0,439c97ba
20974,20974,0,00000000
20975,20975,0,f8040413
20976,20976,0,00f10613
20977,20977,0,00000000
20978,20978,0,45014585
20979,20979,0,00000000
20980,20980,0,00ef8782
20981,20981,0,47854e50
20982,20982,0,00000000
20983,20983,0,00ef8782
20984,20984,0,47854e50
20985,20985,0,02f51963
20986,20986,0,27b7bfc5
20987,20987,0,87930034
20988,20988,0,953e0417
20989,20989,0,591c051e
20990,20990,0,c7998b85
20991,20991,0,00000000
20992,20992,0,03454783
20993,20993,0,00000000
20994,20994,0,00234505
20995,20995,0,00000000
20996,20996,0,00000000
20997,20997,0,00000000
20998,20998,0,00000000
20999,20999,0,80824501
21000,21000,0,ca09832a
21001,21001,0,00058383
21002,21002,0,47854e50
21003,21003,0,02f51963
21004,21004,0,00f14703
21005,21005,0,05300793
21006,21006,0,50b2f6e7
21007,21007,0,54925422
21008,21008,0,49f25902
21009,21009,0,80826145
21010,21010,0,00000000
21011,21011,0,49f000ef
21012,21012,0,00000000
21013,21013,0,16e34785
21014,21014,0,4783e46f
21015,21015,0,e399f689
21016,21016,0,d24ff0ef
21017,21017,0,078547b2
21018,21018,0,00000000
21019,21019,0,00000000
21020,21020,0,c6061141
21021,21021,0,c226c422
21022,21022,0,00efc04a
21023,21023,0,00000000
21024,21024,0,c55177a0
21025,21025,0,00000000
21026,21026,0,e7b74405
21027,21027,0,1a1077b7
21028,21028,0,751343e8
21029,21029,0,80820ff5
21030,21030,0,1a1077b7
21031,21031,0,8082c7a8
21032,21032,0,00000000
21033,21033,0,00000000
21034,21034,0,00000000
21035,21035,0,00000000
21036,21036,0,c55177a0
21037,21037,0,e7b74405
21038,21038,0,80a31c07
21039,21039,0,40b2b581
21040,21040,0,44924422
21041,21041,0,01414902
21042,21042,0,11018082
21043,21043,0,00000000
21044,21044,0,ce06ca26
21045,21045,0,00000000
21046,21046,0,078547b2
21047,21047,0,47b2c63e
21048,21048,0,fcf478e3
21049,21049,0,00000000
21050,21050,0,00000000
21051,21051,0,f819c783
21052,21052,0,00000000
21053,21053,0,0828e789
21054,21054,0,00000000
21055,21055,0,074a2783
21056,21056,0,01578863
21057,21057,0,1c0087b7
21058,21058,0,08078793
21059,21059,0,00000000
21060,21060,0,00000000
21061,21061,0,00000000
21062,21062,0,00000000
21063,21063,0,00000000
21064,21064,0,f6a4c783
21065,21065,0,f0efe399
21066,21066,0,4783e46f
21067,21067,0,e399f689
21068,21068,0,00000000
21069,21069,0,d4227179
21070,21070,0,1c07e437
21071,21071,0,f8044783
21072,21072,0,00000000
21073,21073,0,d226d606
21074,21074,0,ce4ed04a
21075,21075,0,000107a3
21076,21076,0,00000000
21077,21077,0,6c634719
21078,21078,0,00000000
21079,21079,0,173704f7
21080,21080,0,078a1a00
21081,21081,0,09470713
21082,21082,0,439c97ba
21083,21083,0,00000000
21084,21084,0,f8040413
21085,21085,0,00f10613
21086,21086,0,00000000
21087,21087,0,45014585
21088,21088,0,00000000
21089,21089,0,00ef8782
21090,21090,0,47854e50
21091,21091,0,00000000
21092,21092,0,00ef8782
21093,21093,0,47854e50
21094,21094,0,02f51963
21095,21095,0,27b7bfc5
21096,21096,0,87930034
21097,21097,0,953e0417
21098,21098,0,591c051e
21099,21099,0,c7998b85
21100,21100,0,00000000
21101,21101,0,03454783
21102,21102,0,00000000
21103,21103,0,00234505
21104,21104,0,00000000
21105,21105,0,00000000
21106,21106,0,00000000
21107,21107,0,00000000
21108,21108,0,80824501
21109,21109,0,ca09832a
21110,21110,0,00058383
21111,21111,0,47854e50
21112,21112,0,02f51963
21113,21113,0,00f14703
21114,21114,0,05300793
21115,21115,0,50b2f6e7
21116,21116,0,54925422
21117,21117,0,49f25902
21118,21118,0,80826145
21119,21119,0,00000000
21120,21120,0,49f000ef
21121,21121,0,00000000
21122,21122,0,16e34785
21123,21123,0,4783e46f
21124,21124,0,e399f689
21125,21125,0,d24ff0ef
21126,21126,0,078547b2
21127,21127,0,00000000
21128,21128,0,00000000
21129,21129,0,c6061141
21130,21130,0,c226c422
21131,21131,0,00efc04a
21132,21132,0,00000000
21133,21133,0,c55177a0
21134,21134,0,00000000
21135,21135,0,e7b74405
21136,21136,0,1a1077b7
21137,21137,0,751343e8
21138,21138,0,80820ff5
21139,21139,0,1a1077b7
21140,21140,0,8082c7a8
21141,21141,0,00000000
21142,21142,0,00000000
21143,21143,0,00000000
21144,21144,0,00000000
21145,21145,0,c55177a0
21146,21146,0,e7b74405
21147,21147,0,80a31c07
21148,21148,0,40b2b581
21149,21149,0,44924422
21150,21150,0,01414902
21151,21151,0,11018082
21152,21152,0,00000000
21153,21153,0,ce06ca26
21154,21154,0,00000000
21155,21155,0,078547b2
21156,21156,0,47b2c63e
21157,21157,0,fcf478e3
21158,21158,0,00000000
21159,21159,0,00000000
21160,21160,0,f819c783
21161,21161,0,00000000
21162,21162,0,0828e789
21163,21163,0,00000000
21164,21164,0,074a2783
21165,21165,0,01578863
21166,21166,0,1c0087b7
21167,21167,0,08078793
21168,21168,0,00000000
21169,21169,0,00000000
21170,21170,0,00000000
21171,21171,0,00000000
21172,21172,0,00000000
21173,21173,0,f6a4c783
21174,21174,0,f0efe399
21175,21175,0,4783e46f
21176,21176,0,e399f689
21177,21177,0,00000000
21178,21178,0,d4227179
21179,21179,0,1c07e437
21180,21180,0,f8044783
21181,21181,0,00000000
21182,21182,0,d226d606
21183,21183,0,ce4ed04a
21184,21184,0,000107a3
21185,21185,0,00000000
21186,21186,0,6c634719
21187,21187,0,00000000
21188,21188,0,173704f7
21189,21189,0,078a1a00
21190,21190,0,09470713
21191,21191,0,439c97ba
21192,21192,0,00000000
21193,21193,0,f8040413
21194,21194,0,00f10613
21195,21195,0,00000000
21196,21196,0,45014585
21197,21197,0,00000000
21198,21198,0,00ef8782
21199,21199,0,47854e50
21200,21200,0,00000000
21201,21201,0,00ef8782
21202,21202,0,47854e50
21203,21203,0,02f51963
21204,21204,0,27b7bfc5
21205,21205,0,87930034
21206,21206,0,953e0417
21207,21207,0,591c051e
21208,21208,0,c7998b85
21209,21209,0,00000000
21210,21210,0,03454783
21211,21211,0,00000000
21212,21212,0,00234505
21213,21213,0,00000000
21214,21214,0,00000000
21215,21215,0,00000000
21216,21216,0,00000000
21217,21217,0,80824501
21218,21218,0,ca09832a
21219,21219,0,00058383
21220,21220,0,47854e50
21221,21221,0,02f51963
21222,21222,0,00f14703
21223,21223,0,05300793
21224,21224,0,50b2f6e7
21225,21225,0,54925422
21226,21226,0,49f25902
21227,21227,0,80826145
21228,21228,0,00000000
21229,21229,0,49f000ef
21230,21230,0,00000000
21231,21231,0,16e34785
21232,21232,0,4783e46f
21233,21233,0,e399f689
21234,21234,0,d24ff0ef
21235,21235,0,078547b2
21236,21236,0,00000000
21237,21237,0,00000000
21238,21238,0,c6061141
21239,21239,0,c226c422
21240,21240,0,00efc04a
21241,21241,0,00000000
21242,21242,0,c55177a0
21243,21243,0,00000000
21244,21244,0,e7b74405
21245,21245,0,1a1077b7
21246,21246,0,751343e8
21247,21247,0,80820ff5
21248,21248,0,1a1077b7
21249,21249,0,8082c7a8
21250,21250,0,00000000
21251,21251,0,00000000
21252,21252,0,00000000
21253,21253,0,00000000
21254,21254,0,c55177a0
21255,21255,0,e7b74405
21256,21256,0,80a31c07
21257,21257,0,40b2b581
21258,21258,0,44924422
21259,21259,0,01414902
21260,21260,0,11018082
21261,21261,0,00000000
21262,21262,0,ce06ca26
21263,21263,0,00000000
21264,21264,0,078547b2
21265,21265,0,47b2c63e
21266,21266,0,fcf478e3
21267,21267,0,00000000
21268,21268,0,00000000
21269,21269,0,f819c783
21270,21270,0,00000000
21271,21271,0,0828e789
21272,21272,0,00000000
21273,21273,0,074a2783
21274,21274,0,01578863
21275,21275,0,1c0087b7
21276,21276,0,08078793
21277,21277,0,00000000
21278,21278,0,00000000
21279,21279,0,00000000
21280,21280,0,00000000
21281,21281,0,00000000
21282,21282,0,f6a4c783
21283,21283,0,f0efe399
21284,21284,0,4783e46f
21285,21285,0,e399f689
21286,21286,0,00000000
21287,21287,0,d4227179
21288,21288,0,1c07e437
21289,21289,0,f8044783
21290,21290,0,00000000
21291,21291,0,d226d606
21292,21292,0,ce4ed04a
21293,21293,0,000107a3
21294,21294,0,00000000
21295,21295,0,6c634719
21296,21296,0,00000000
21297,21297,0,173704f7
21298,21298,0,078a1a00
21299,21299,0,09470713
21300,21300,0,439c97ba
21301,21301,0,00000000
21302,21302,0,f8040413
21303,21303,0,00f10613
21304,21304,0,00000000
21305,21305,0,45014585
21306,21306,0,00000000
21307,21307,0,00ef8782
21308,21308,0,47854e50
21309,21309,0,00000000
21310,21310,0,00ef8782
21311,21311,0,47854e50
21312,21312,0,02f51963
21313,21313,0,27b7bfc5
21314,21314,0,87930034
21315,21315,0,953e0417
21316,21316,0,591c051e
21317,21317,0,c7998b85
21318,21318,0,00000000
21319,21319,0,03454783
21320,21320,0,00000000
21321,21321,0,00234505
21322,21322,0,00000000
21323,21323,0,00000000
21324,21324,0,00000000
21325,21325,0,00000000
21326,21326,0,80824501
21327,21327,0,ca09832a
21328,21328,0,00058383
21329,21329,0,47854e50
21330,21330,0,02f51963
21331,21331,0,00f14703
21332,21332,0,05300793
21333,21333,0,50b2f6e7
21334,21334,0,54925422
21335,21335,0,49f25902
21336,21336,0,80826145
21337,21337,0,00000000
21338,21338,0,49f000ef
21339,21339,0,00000000
21340,21340,0,16e34785
21341,21341,0,4783e46f
21342,21342,0,e399f689
21343,21343,0,d24ff0ef
21344,21344,0,078547b2
21345,21345,0,00000000
21346,21346,0,00000000
21347,21347,0,c6061141
21348,21348,0,c226c422
21349,21349,0,00efc04a
21350,21350,0,00000000
21351,21351,0,c55177a0
21352,21352,0,00000000
21353,21353,0,e7b74405
21354,21354,0,1a1077b7
21355,21355,0,751343e8
21356,21356,0,80820ff5
21357,21357,0,1a1077b7
21358,21358,0,8082c7a8
21359,21359,0,00000000
21360,21360,0,00000000
21361,21361,0,00000000
21362,21362,0,00000000
21363,21363,0,c55177a0
21364,21364,0,e7b74405
21365,21365,0,80a31c07
21366,21366,0,40b2b581
21367,21367,0,44924422
21368,21368,0,01414902
21369,21369,0,11018082
21370,21370,0,00000000
21371,21371,0,ce06ca26
21372,21372,0,00000000
21373,21373,0,078547b2
21374,21374,0,47b2c63e
21375,21375,0,fcf478e3
21376,21376,0,00000000
21377,21377,0,00000000
21378,21378,0,f819c783
21379,21379,0,00000000
21380,21380,0,0828e789
21381,21381,0,00000000
21382,21382,0,074a2783
21383,21383,0,01578863
21384,21384,0,1c0087b7
21385,21385,0,08078793
21386,21386,0,00000000
21387,21387,0,00000000
21388,21388,0,00000000
21389,21389,0,00000000
21390,21390,0,00000000
21391,21391,0,f6a4c783
21392,21392,0,f0efe399
21393,21393,0,4783e46f
21394,21394,0,e399f689
21395,21395,0,00000000
21396,21396,0,d4227179
21397,21397,0,1c07e437
21398,21398,0,f8044783
21399,21399,0,00000000
21400,21400,0,d226d606
21401,21401,0,ce4ed04a
21402,21402,0,000107a3
21403,21403,0,00000000
21404,21404,0,6c634719
21405,21405,0,00000000
21406,21406,0,173704f7
21407,21407,0,078a1a00
21408,21408,0,09470713
21409,21409,0,439c97ba
21410,21410,0,00000000
21411,21411,0,f8040413
21412,21412,0,00f10613
21413,21413,0,00000000
21414,21414,0,45014585
21415,21415,0,00000000
21416,21416,0,00ef8782
21417,21417,0,47854e50
21418,21418,0,00000000
21419,21419,0,00ef8782
21420,21420,0,47854e50
21421,21421,0,02f51963
21422,21422,0,27b7bfc5
21423,21423,0,87930034
21424,21424,0,953e0417
21425,21425,0,591c051e
21426,21426,0,c7998b85
21427,21427,0,00000000
21428,21428,0,03454783
21429,21429,0,00000000
21430,21430,0,00234505
21431,21431,0,00000000
21432,21432,0,00000000
21433,21433,0,00000000
21434,21434,0,00000000
21435,21435,0,80824501
21436,21436,0,ca09832a
21437,21437,0,00058383
21438,21438,0,47854e50
21439,21439,0,02f51963
21440,21440,0,00f14703
21441,21441,0,05300793
21442,21442,0,50b2f6e7
21443,21443,0,54925422
21444,21444,0,49f25902
21445,21445,0,80826145
21446,21446,0,00000000
21447,21447,0,49f000ef
21448,21448,0,00000000
21449,21449,0,16e34785
21450,21450,0,4783e46f
21451,21451,0,e399f689
21452,21452,0,d24ff0ef
21453,21453,0,078547b2
21454,21454,0,00000000
21455,21455,0,00000000
21456,21456,0,c6061141
21457,21457,0,c226c422
21458,21458,0,00efc04a
21459,21459,0,00000000
21460,21460,0,c55177a0
21461,21461,0,00000000
21462,21462,0,e7b74405
21463,21463,0,1a1077b7
21464,21464,0,751343e8
21465,21465,0,80820ff5
21466,21466,0,1a1077b7
21467,21467,0,8082c7a8
21468,21468,0,00000000
21469,21469,0,00000000
21470,21470,0,00000000
21471,21471,0,00000000
21472,21472,0,c55177a0
21473,21473,0,e7b74405
21474,21474,0,80a31c07
21475,21475,0,40b2b581
21476,21476,0,44924422
21477,21477,0,01414902
21478,21478,0,11018082
21479,21479,0,00000000
21480,21480,0,ce06ca26
21481,21481,0,00000000
21482,21482,0,078547b2
21483,21483,0,47b2c63e
21484,21484,0,fcf478e3
21485,21485,0,00000000
21486,21486,0,00000000
21487,21487,0,f819c783
21488,21488,0,00000000
21489,21489,0,0828e789
21490,21490,0,00000000
21491,21491,0,074a2783
21492,21492,0,01578863
21493,21493,0,1c0087b7
21494,21494,0,08078793
21495,21495,0,00000000
21496,21496,0,00000000
21497,21497,0,00000000
21498,21498,0,00000000
21499,21499,0,00000000
21500,21500,0,f6a4c783
21501,21501,0,f0efe399
21502,21502,0,4783e46f
21503,21503,0,e399f689
21504,21504,0,00000000
21505,21505,0,d4227179
21506,21506,0,1c07e437
21507,21507,0,f8044783
21508,21508,0,00000000
21509,21509,0,d226d606
21510,21510,0,ce4ed04a
21511,21511,0,000107a3
21512,21512,0,00000000
21513,21513,0,6c634719
21514,21514,0,00000000
21515,21515,0,173704f7
21516,21516,0,078a1a00
21517,21517,0,09470713
21518,21518,0,439c97ba
21519,21519,0,00000000
21520,21520,0,f8040413
21521,21521,0,00f10613
21522,21522,0,00000000
21523,21523,0,45014585
21524,21524,0,00000000
21525,21525,0,00ef8782
21526,21526,0,47854e50
21527,21527,0,00000000
21528,21528,0,00ef8782
21529,21529,0,47854e50
21530,21530,0,02f51963
21531,21531,0,27b7bfc5
21532,21532,0,87930034
21533,21533,0,953e0417
21534,21534,0,591c051e
21535,21535,0,c7998b85
21536,21536,0,00000000
21537,21537,0,03454783
21538,21538,0,00000000
21539,21539,0,00234505
21540,21540,0,00000000
21541,21541,0,00000000
21542,21542,0,00000000
21543,21543,0,00000000
21544,21544,0,80824501
21545,21545,0,ca09832a
21546,21546,0,00058383
21547,21547,0,47854e50
21548,21548,0,02f51963
21549,21549,0,00f14703
21550,21550,0,05300793
21551,21551,0,50b2f6e7
21552,21552,0,54925422
21553,21553,0,49f25902
21554,21554,0,80826145
21555,21555,0,00000000
21556,21556,0,49f000ef
21557,21557,0,00000000
21558,21558,0,16e34785
21559,21559,0,4783e46f
21560,21560,0,e399f689
21561,21561,0,d24ff0ef
21562,21562,0,078547b2
21563,21563,0,00000000
21564,21564,0,00000000
21565,21565,0,c6061141
21566,21566,0,c226c422
21567,21567,0,00efc04a
21568,21568,0,00000000
21569,21569,0,c55177a0
21570,21570,0,00000000
21571,21571,0,e7b74405
21572,21572,0,1a1077b7
21573,21573,0,751343e8
21574,21574,0,80820ff5
21575,21575,0,1a1077b7
21576,21576,0,8082c7a8
21577,21577,0,00000000
21578,21578,0,00000000
21579,21579,0,00000000
21580,21580,0,00000000
21581,21581,0,c55177a0
21582,21582,0,e7b74405
21583,21583,0,80a31c07
21584,21584,0,40b2b581
21585,21585,0,44924422
21586,21586,0,01414902
21587,21587,0,11018082
21588,21588,0,00000000
21589,21589,0,ce06ca26
21590,21590,0,00000000
21591,21591,0,078547b2
21592,21592,0,47b2c63e
21593,21593,0,fcf478e3
21594,21594,0,00000000
21595,21595,0,00000000
21596,21596,0,f819c783
21597,21597,0,00000000
21598,21598,0,0828e789
21599,21599,0,00000000
21600,21600,0,074a2783
21601,21601,0,01578863
21602,21602,0,1c0087b7
21603,21603,0,08078793
21604,21604,0,00000000
21605,21605,0,00000000
21606,21606,0,00000000
21607,21607,0,00000000
21608,21608,0,00000000
21609,21609,0,f6a4c783
21610,21610,0,f0efe399
21611,21611,0,4783e46f
21612,21612,0,e399f689
21613,21613,0,00000000
21614,21614,0,d4227179
21615,21615,0,1c07e437
21616,21616,0,f8044783
21617,21617,0,00000000
21618,21618,0,d226d606
21619,21619,0,ce4ed04a
21620,21620,0,000107a3
21621,21621,0,00000000
21622,21622,0,6c634719
21623,21623,0,00000000
21624,21624,0,173704f7
21625,21625,0,078a1a00
21626,21626,0,09470713
21627,21627,0,439c97ba
21628,21628,0,00000000
21629,21629,0,f8040413
21630,21630,0,00f10613
21631,21631,0,00000000
21632,21632,0,45014585
21633,21633,0,00000000
21634,21634,0,00ef8782
21635,21635,0,47854e50
21636,21636,0,00000000
21637,21637,0,00ef8782
21638,21638,0,47854e50
21639,21639,0,02f51963
21640,21640,0,27b7bfc5
21641,21641,0,87930034
21642,21642,0,953e0417
21643,21643,0,591c051e
21644,21644,0,c7998b85
21645,21645,0,00000000
21646,21646,0,03454783
21647,21647,0,00000000
21648,21648,0,00234505
21649,21649,0,00000000
21650,21650,0,00000000
21651,21651,0,00000000
21652,21652,0,00000000
21653,21653,0,80824501
21654,21654,0,ca09832a
21655,21655,0,00058383
21656,21656,0,47854e50
21657,21657,0,02f51963
21658,21658,0,00f14703
21659,21659,0,05300793
21660,21660,0,50b2f6e7
21661,21661,0,54925422
21662,21662,0,49f25902
21663,21663,0,80826145
21664,21664,0,00000000
21665,21665,0,49f000ef
21666,21666,0,00000000
21667,21667,0,16e34785
21668,21668,0,4783e46f
21669,21669,0,e399f689
21670,21670,0,d24ff0ef
21671,21671,0,078547b2
21672,21672,0,00000000
21673,21673,0,00000000
21674,21674,0,c6061141
21675,21675,0,c226c422
21676,21676,0,00efc04a
21677,21677,0,00000000
21678,21678,0,c55177a0
21679,21679,0,00000000
21680,21680,0,e7b74405
21681,21681,0,1a1077b7
21682,21682,0,751343e8
21683,21683,0,80820ff5
21684,21684,0,1a1077b7
21685,21685,0,8082c7a8
21686,21686,0,00000000
21687,21687,0,00000000
21688,21688,0,00000000
21689,21689,0,00000000
21690,21690,0,c55177a0
21691,21691,0,e7b74405
21692,21692,0,80a31c07
21693,21693,0,40b2b581
21694,21694,0,44924422
21695,21695,0,01414902
21696,21696,0,11018082
21697,21697,0,00000000
21698,21698,0,ce06ca26
21699,21699,0,00000000
21700,21700,0,078547b2
21701,21701,0,47b2c63e
21702,21702,0,fcf478e3
21703,21703,0,00000000
21704,21704,0,00000000
21705,21705,0,f819c783
21706,21706,0,00000000
21707,21707,0,0828e789
21708,21708,0,00000000
21709,21709,0,074a2783
21710,21710,0,01578863
21711,21711,0,1c0087b7
21712,21712,0,08078793
21713,21713,0,00000000
21714,21714,0,00000000
21715,21715,0,00000000
21716,21716,0,00000000
21717,21717,0,00000000
21718,21718,0,f6a4c783
21719,21719,0,f0efe399
21720,21720,0,4783e46f
21721,21721,0,e399f689
21722,21722,0,00000000
21723,21723,0,d4227179
21724,21724,0,1c07e437
21725,21725,0,f8044783
21726,21726,0,00000000
21727,21727,0,d226d606
21728,21728,0,ce4ed04a
21729,21729,0,000107a3
21730,21730,0,00000000
21731,21731,0,6c634719
21732,21732,0,00000000
21733,21733,0,173704f7
21734,21734,0,078a1a00
21735,21735,0,09470713
21736,21736,0,439c97ba
21737,21737,0,00000000
21738,21738,0,f8040413
21739,21739,0,00f10613
21740,21740,0,00000000
21741,21741,0,45014585
21742,21742,0,00000000
21743,21743,0,00ef8782
21744,21744,0,47854e50
21745,21745,0,00000000
21746,21746,0,00ef8782
21747,21747,0,47854e50
21748,21748,0,02f51963
21749,21749,0,27b7bfc5
21750,21750,0,87930034
21751,21751,0,953e0417
21752,21752,0,591c051e
21753,21753,0,c7998b85
21754,21754,0,00000000
21755,21755,0,03454783
21756,21756,0,00000000
21757,21757,0,00234505
21758,21758,0,00000000
21759,21759,0,00000000
21760,21760,0,00000000
21761,21761,0,00000000
21762,21762,0,80824501
21763,21763,0,ca09832a
21764,21764,0,00058383
21765,21765,0,47854e50
21766,21766,0,02f51963
21767,21767,0,00f14703
21768,21768,0,05300793
21769,21769,0,50b2f6e7
21770,21770,0,54925422
21771,21771,0,49f25902
21772,21772,0,80826145
21773,21773,0,00000000
21774,21774,0,49f000ef
21775,21775,0,00000000
21776,21776,0,16e34785
21777,21777,0,4783e46f
21778,21778,0,e399f689
21779,21779,0,d24ff0ef
21780,21780,0,078547b2
21781,21781,0,00000000
21782,21782,0,00000000
21783,21783,0,c6061141
21784,21784,0,c226c422
21785,21785,0,00efc04a
21786,21786,0,00000000
21787,21787,0,c55177a0
21788,21788,0,00000000
21789,21789,0,e7b74405
21790,21790,0,1a1077b7
21791,21791,0,751343e8
21792,21792,0,80820ff5
21793,21793,0,1a1077b7
21794,21794,0,8082c7a8
21795,21795,0,00000000
21796,21796,0,00000000
21797,21797,0,00000000
21798,21798,0,00000000
21799,21799,0,c55177a0
21800,21800,0,e7b74405
21801,21801,0,80a31c07
21802,21802,0,40b2b581
21803,21803,0,44924422
21804,21804,0,01414902
21805,21805,0,11018082
21806,21806,0,00000000
21807,21807,0,ce06ca26
21808,21808,0,00000000
21809,21809,0,078547b2
21810,21810,0,47b2c63e
21811,21811,0,fcf478e3
21812,21812,0,00000000
21813,21813,0,00000000
21814,21814,0,f819c783
21815,21815,0,00000000
21816,21816,0,0828e789
21817,21817,0,00000000
21818,21818,0,074a2783
21819,21819,0,01578863
21820,21820,0,1c0087b7
21821,21821,0,08078793
21822,21822,0,00000000
21823,21823,0,00000000
21824,21824,0,00000000
21825,21825,0,00000000
21826,21826,0,00000000
21827,21827,0,f6a4c783
21828,21828,0,f0efe399
21829,21829,0,4783e46f
21830,21830,0,e399f689
21831,21831,0,00000000
21832,21832,0,d4227179
21833,21833,0,1c07e437
21834,21834,0,f8044783
21835,21835,0,00000000
21836,21836,0,d226d606
21837,21837,0,ce4ed04a
21838,21838,0,000107a3
21839,21839,0,00000000
21840,21840,0,6c634719
21841,21841,0,00000000
21842,21842,0,173704f7
21843,21843,0,078a1a00
21844,21844,0,09470713
21845,21845,0,439c97ba
21846,21846,0,00000000
21847,21847,0,f8040413
21848,21848,0,00f10613
21849,21849,0,00000000
21850,21850,0,45014585
21851,21851,0,00000000
21852,21852,0,00ef8782
21853,21853,0,47854e50
21854,21854,0,00000000
21855,21855,0,00ef8782
21856,21856,0,47854e50
21857,21857,0,02f51963
21858,21858,0,27b7bfc5
21859,21859,0,87930034
21860,21860,0,953e0417
21861,21861,0,591c051e
21862,21862,0,c7998b85
21863,21863,0,00000000
21864,21864,0,03454783
21865,21865,0,00000000
21866,21866,0,00234505
21867,21867,0,00000000
21868,21868,0,00000000
21869,21869,0,00000000
21870,21870,0,00000000
21871,21871,0,80824501
21872,21872,0,ca09832a
21873,21873,0,00058383
21874,21874,0,47854e50
21875,21875,0,02f51963
21876,21876,0,00f14703
21877,21877,0,05300793
21878,21878,0,50b2f6e7
21879,21879,0,54925422
21880,21880,0,49f25902
21881,21881,0,80826145
21882,21882,0,00000000
21883,21883,0,49f000ef
21884,21884,0,00000000
21885,21885,0,16e34785
21886,21886,0,4783e46f
21887,21887,0,e399f689
21888,21888,0,d24ff0ef
21889,21889,0,078547b2
21890,21890,0,00000000
21891,21891,0,00000000
21892,21892,0,c6061141
21893,21893,0,c226c422
21894,21894,0,00efc04a
21895,21895,0,00000000
21896,21896,0,c55177a0
21897,21897,0,00000000
21898,21898,0,e7b74405
21899,21899,0,1a1077b7
21900,21900,0,751343e8
21901,21901,0,80820ff5
21902,21902,0,1a1077b7
21903,21903,0,8082c7a8
21904,21904,0,00000000
21905,21905,0,00000000
21906,21906,0,00000000
21907,21907,0,00000000
21908,21908,0,c55177a0
21909,21909,0,e7b74405
21910,21910,0,80a31c07
21911,21911,0,40b2b581
21912,21912,0,44924422
21913,21913,0,01414902
21914,21914,0,11018082
21915,21915,0,00000000
21916,21916,0,ce06ca26
21917,21917,0,00000000
21918,21918,0,078547b2
21919,21919,0,47b2c63e
21920,21920,0,fcf478e3
21921,21921,0,00000000
21922,21922,0,00000000
21923,21923,0,f819c783
21924,21924,0,00000000
21925,21925,0,0828e789
21926,21926,0,00000000
21927,21927,0,074a2783
21928,21928,0,01578863
21929,21929,0,1c0087b7
21930,21930,0,08078793
21931,21931,0,00000000
21932,21932,0,00000000
21933,21933,0,00000000
21934,21934,0,00000000
21935,21935,0,00000000
21936,21936,0,f6a4c783
21937,21937,0,f0efe399
21938,21938,0,4783e46f
21939,21939,0,e399f689
21940,21940,0,00000000
21941,21941,0,d4227179
21942,21942,0,1c07e437
21943,21943,0,f8044783
21944,21944,0,00000000
21945,21945,0,d226d606
21946,21946,0,ce4ed04a
21947,21947,0,000107a3
21948,21948,0,00000000
21949,21949,0,6c634719
21950,21950,0,00000000
21951,21951,0,173704f7
21952,21952,0,078a1a00
21953,21953,0,09470713
21954,21954,0,439c97ba
21955,21955,0,00000000
21956,21956,0,f8040413
21957,21957,0,00f10613
21958,21958,0,00000000
21959,21959,0,45014585
21960,21960,0,00000000
21961,21961,0,00ef8782
21962,21962,0,47854e50
21963,21963,0,00000000
